run_id,symbol,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,dividend_safety_pass,price_to_200dma,target_date
2026-03-23T10:40:54Z,INCY.US,Healthcare,Biotechnology,1,0.05,False,buy_buffer_entry,,0.7651779147903802,0.0466916828955493,0.6758471181190269,0.659367133521745,-0.0001000448131295,-0.0019468306701864,1.0,1.0038407279290464,2026-03-17
2026-03-23T10:40:54Z,KEYS.US,Technology,Scientific & Technical Instruments,2,0.05,False,buy_buffer_entry,,0.7272956459890703,0.0114285714285714,0.2954927831399982,0.1995511720139205,0.010062282402038,-0.0050146967282298,1.0,1.4202428151437114,2026-03-17
2026-03-23T10:40:54Z,EBAY.US,Consumer Cyclical,Internet Retail,3,0.05,False,buy_buffer_entry,,0.7159930772518848,0.0957363273453094,0.4503691084611016,0.2442977150893535,6.472575029937945e-06,0.0001728022257643,1.0,1.0027619768953877,2026-03-17
2026-03-23T10:40:54Z,SLAB.US,Technology,Semiconductors,5,0.05,False,buy_buffer_entry,,0.6193676860884966,-0.0164642291323662,0.3600227523936101,0.3236934584150243,0.0,0.000813151112976,1.0,1.4145007266537917,2026-03-17
2026-03-23T10:40:54Z,HAS.US,Consumer Cyclical,Leisure,6,0.05,False,buy_buffer_entry,,0.6157483010483473,0.0314127583749109,0.5949747838616715,0.1847216535166357,0.00037947820011,-0.0058464517121843,1.0,1.1227255910756646,2026-03-17
2026-03-23T10:40:54Z,CTVA.US,Basic Materials,Agricultural Inputs,8,0.05,False,buy_buffer_entry,,0.5030798828950802,0.0421006724137931,0.1770334928229665,0.5795115016871369,0.0,0.0041414906367369,1.0,1.0999403957541949,2026-03-17
2026-03-23T10:40:54Z,EME.US,Industrials,Engineering & Construction,9,0.05,False,buy_buffer_entry,,0.4808320060135369,0.0397363185780208,0.3465886784850969,0.1413881773420776,6.734284389903672e-05,-0.0008197935825716,1.0,1.1226603351791826,2026-03-17
2026-03-23T10:40:54Z,OGS.US,Utilities,Utilities - Regulated Gas,11,0.05,False,buy_buffer_entry,,0.3782300619564815,-0.0286173057703435,0.1531362040308113,0.7257785792641239,0.0013572372294325,0.0030590329195979,1.0,1.106562876915451,2026-03-17
2026-03-23T10:40:54Z,EXC.US,Utilities,Utilities - Regulated Electric,12,0.05,False,buy_buffer_entry,,0.3569552460327913,0.0272269192422731,0.0581024277258299,0.6060663442952794,0.0041622822840245,-0.0021687446950175,1.0,1.0430714070334903,2026-03-17
2026-03-23T10:40:54Z,IESC.US,Industrials,Engineering & Construction,13,0.05,False,buy_buffer_entry,,0.3450406148444941,0.0113741366642174,0.5386463666154653,0.130421187174963,0.0436699680455058,,1.0,1.1150236479762996,2026-03-17
2026-03-23T10:40:54Z,VICR.US,Technology,Electronic Components,14,0.05,False,buy_buffer_entry,,0.3182867457503802,0.0052692171448813,0.2728691028987148,0.1308957128005336,0.2034799355674524,-0.008451766899897,1.0,1.8161640658360247,2026-03-17
2026-03-23T10:40:54Z,SWX.US,Utilities,Utilities - Regulated Gas,18,0.05,False,buy_buffer_entry,,0.0931698226277509,0.0254657707685472,0.0544568054563042,0.6561728582103166,-6.819243815185173e-05,0.0016070562347576,1.0,1.0422337855274575,2026-03-17
2026-03-23T10:40:54Z,NEE.US,Utilities,Utilities - Regulated Electric,22,0.05,False,rank_fill,,-0.0751430910185335,0.0133298203011171,0.0811156397346759,0.2928432040942775,-0.0,0.0028191297274586,1.0,1.1121919256537072,2026-03-17
2026-03-23T10:40:54Z,CACI.US,Technology,Information Technology Services,23,0.05,False,rank_fill,,-0.087521767924013,0.007974128383467,0.0883696258776136,0.3026364924121962,0.0,-2.5446343729695897e-05,1.0,1.1080979501711683,2026-03-17
2026-03-23T10:40:54Z,BURL.US,Consumer Cyclical,Apparel Retail,24,0.05,False,rank_fill,,-0.0991426836595873,0.0072606238872977,0.4700161517370048,0.1473343856594116,5.326973590700481e-05,-0.011615246993689,1.0,1.0997489616473497,2026-03-17
2026-03-23T10:40:54Z,KAR.US,Consumer Cyclical,Auto & Truck Dealerships,25,0.05,False,rank_fill,,-0.2899489264130765,0.0064220183486238,0.1889803780454247,0.5063155781121178,0.0,,1.0,1.1984756990982046,2026-03-17
2026-03-23T10:40:54Z,BWXT.US,Industrials,Aerospace & Defense,26,0.05,False,rank_fill,,-0.4095720011794556,0.0051434030045721,0.1712571357335078,0.0805945769264275,0.0015181582061831,0.0710638361336117,1.0,1.1129267199275608,2026-03-17
2026-03-23T10:40:54Z,COHR.US,Technology,Scientific & Technical Instruments,27,0.05,False,rank_fill,,-0.4196218419041885,-0.0211081794195251,0.1379740346280072,0.2149303609613165,0.0,0.0058983711081622,1.0,2.0713576767281947,2026-03-17
2026-03-23T10:40:54Z,CON.US,Healthcare,Medical Care Facilities,29,0.05,False,rank_fill,,-0.4562709905491065,0.0111484162708894,0.2017977322465794,0.1797181952544473,0.0,0.1760573946177661,1.0,1.0267170018342833,2026-03-17
2026-03-23T10:40:54Z,GH.US,Healthcare,Diagnostics & Research,32,0.05,False,rank_fill,,-0.5169636501673921,-0.0214183877143672,0.3143600778483348,0.0967142105107958,0.0164923829563758,0.0380478340567743,1.0,1.1413711656104906,2026-03-17
